Id	Tense	Sentence
668	Past Perfect Continuous Tense	She had been giving him a dollar.
669	Simple Future Tense	She will give him a dollar.
670	Future Continuous Tense	She will be giving him a dollar.
671	Future Perfect Tense	She will have given him a dollar.
672	Future Perfect Continuous Tense	She will have been giving him a dollar.
673	Simple Present Tense	He believes it.
674	Present Continuous Tense	He is believing it.
675	Present Perfect Tense	He has believed it.
676	Present Perfect Continuous Tense	He has been believing it.
677	Simple Past Tense	He believed it.
678	Past Continuous Tense	He was believing it.
679	Past Perfect Tense	He had believed it.
680	Past Perfect Continuous Tense	He had been believing it.
681	Simple Future Tense	He will believe it.
682	Future Continuous Tense	He will be believing it.
683	Future Perfect Tense	He will have believed it.
684	Future Perfect Continuous Tense	He will have been believing it.
685	Simple Present Tense	She seems nice.
686	Present Continuous Tense	She is seeming nice.
687	Present Perfect Tense	She has seemed nice.
688	Present Perfect Continuous Tense	She has been seeming nice.
689	Simple Past Tense	She seemed nice.
690	Past Continuous Tense	She was seeming nice.
691	Past Perfect Tense	She had seemed nice.
692	Past Perfect Continuous Tense	She had been seeming nice.
693	Simple Future Tense	She will seem nice.
694	Future Continuous Tense	She will be seeming nice.
695	Future Perfect Tense	She will have seemed nice.
696	Future Perfect Continuous Tense	She will have been seeming nice.
697	Simple Present Tense	She runs.
698	Present Continuous Tense	She is running.
699	Present Perfect Tense	She has run.
700	Present Perfect Continuous Tense	She has been running.
701	Simple Past Tense	She ran.
702	Past Continuous Tense	She was running.
703	Past Perfect Tense	She had run.
704	Past Perfect Continuous Tense	She had been running.
705	Simple Future Tense	She will run.
706	Future Continuous Tense	She will be running.
707	Future Perfect Tense	She will have run.
708	Future Perfect Continuous Tense	She will have been running.
709	Simple Present Tense	She looks nice.
710	Present Continuous Tense	She is looking nice.
711	Present Perfect Tense	She has looked nice.
712	Present Perfect Continuous Tense	She has been looking nice.
713	Simple Past Tense	She looked nice.
714	Past Continuous Tense	She was looking nice.
715	Past Perfect Tense	She had looked nice.
716	Past Perfect Continuous Tense	She had been looking nice.
717	Simple Future Tense	She will look nice.
718	Future Continuous Tense	She will be looking nice.
719	Future Perfect Tense	She will have looked nice.
720	Future Perfect Continuous Tense	She will have been looking nice.
721	Simple Present Tense	She walks.
722	Present Continuous Tense	She is walking.
723	Present Perfect Tense	She has walked.
724	Present Perfect Continuous Tense	She has been walking.
725	Simple Past Tense	She walked.
726	Past Continuous Tense	She was walking.
727	Past Perfect Tense	She had walked.
728	Past Perfect Continuous Tense	She had been walking.
729	Simple Future Tense	She will walk.
730	Future Continuous Tense	She will be walking.
731	Future Perfect Tense	She will have walked.
732	Future Perfect Continuous Tense	She will have been walking.
733	Simple Present Tense	It starts.
734	Present Continuous Tense	It is starting.
735	Present Perfect Tense	It has started.
736	Present Perfect Continuous Tense	It has been starting.
737	Simple Past Tense	It started.
738	Past Continuous Tense	It was starting.
739	Past Perfect Tense	It had started.
740	Past Perfect Continuous Tense	It had been starting.
741	Simple Future Tense	It will start.
742	Future Continuous Tense	It will be starting.
743	Future Perfect Tense	It will have started.
744	Future Perfect Continuous Tense	It will have been starting.
745	Simple Present Tense	He helps.
746	Present Continuous Tense	He is helping.
747	Present Perfect Tense	He has helped.
748	Present Perfect Continuous Tense	He has been helping.
749	Simple Past Tense	He helped.
750	Past Continuous Tense	He was helping.
751	Past Perfect Tense	He had helped.
752	Past Perfect Continuous Tense	He had been helping.
753	Simple Future Tense	He will help.
754	Future Continuous Tense	He will be helping.
755	Future Perfect Tense	He will have helped.
756	Future Perfect Continuous Tense	He will have been helping.
757	Simple Present Tense	He moves.
758	Present Continuous Tense	He is moving.
759	Present Perfect Tense	He has moved.
760	Present Perfect Continuous Tense	He has been moving.
761	Simple Past Tense	He moved.
762	Past Continuous Tense	He was moving.
763	Past Perfect Tense	He had moved.
764	Past Perfect Continuous Tense	He had been moving.
765	Simple Future Tense	He will move.
766	Future Continuous Tense	He will be moving.
767	Future Perfect Tense	He will have moved.
768	Future Perfect Continuous Tense	He will have been moving.
769	Simple Present Tense	He turns around.
770	Present Continuous Tense	He is turning around.
771	Present Perfect Tense	He has turned around.
772	Present Perfect Continuous Tense	He has been turning around.
773	Simple Past Tense	He turned around.
774	Past Continuous Tense	He was turning around.
775	Past Perfect Tense	He had turned around.
776	Past Perfect Continuous Tense	He had been turning around.
777	Simple Future Tense	He will turn around.
778	Future Continuous Tense	He will be turning around.
779	Future Perfect Tense	He will have turned around.
780	Future Perfect Continuous Tense	He will have been turning around.
781	Simple Present Tense	It happens.
782	Present Continuous Tense	It is happening.
783	Present Perfect Tense	It has happened.
784	Present Perfect Continuous Tense	It has been happening.
785	Simple Past Tense	It happened.
786	Past Continuous Tense	It was happening.
787	Past Perfect Tense	It had happened.
788	Past Perfect Continuous Tense	It had been happening.
789	Simple Future Tense	It will happen.
790	Future Continuous Tense	It will be happening.
791	Future Perfect Tense	It will have happened.
792	Future Perfect Continuous Tense	It will have been happening.
793	Simple Present Tense	He arrives.
794	Present Continuous Tense	He is arriving.
795	Present Perfect Tense	He has arrived.
796	Present Perfect Continuous Tense	He has been arriving.
797	Simple Past Tense	He arrived.
798	Past Continuous Tense	He was arriving.
799	Past Perfect Tense	He had arrived.
800	Past Perfect Continuous Tense	He had been arriving.
801	Simple Future Tense	He will arrive.
802	Future Continuous Tense	He will be arriving.
803	Future Perfect Tense	He will have arrived.
804	Future Perfect Continuous Tense	He will have been arriving.
805	Simple Present Tense	She stops.
806	Present Continuous Tense	She is stopping.
807	Present Perfect Tense	She has stopped.
808	Present Perfect Continuous Tense	She has been stopping.
809	Simple Past Tense	She stopped.
810	Past Continuous Tense	She was stopping.
811	Past Perfect Tense	She had stopped.
812	Past Perfect Continuous Tense	She had been stopping.
813	Simple Future Tense	She will stop.
814	Future Continuous Tense	She will be stopping.
815	Future Perfect Tense	She will have stopped.
816	Future Perfect Continuous Tense	She will have been stopping.
817	Simple Present Tense	She pays a lot.
818	Present Continuous Tense	She is paying a lot.
819	Present Perfect Tense	She has paid a lot.
820	Present Perfect Continuous Tense	She has been paying a lot.
821	Simple Past Tense	She paid a lot.
822	Past Continuous Tense	She was paying a lot.
823	Past Perfect Tense	She had paid a lot.
824	Past Perfect Continuous Tense	She had been paying a lot.
825	Simple Future Tense	She will pay a lot.
826	Future Continuous Tense	She will be paying a lot.
827	Future Perfect Tense	She will have paid a lot.
828	Future Perfect Continuous Tense	She will have been paying a lot.
829	Simple Present Tense	He smiles.
830	Present Continuous Tense	He is smiling.
831	Present Perfect Tense	He has smiled.
832	Present Perfect Continuous Tense	He has been smiling.
833	Simple Past Tense	He smiled.
834	Past Continuous Tense	He was smiling.
835	Past Perfect Tense	He had smiled.
836	Past Perfect Continuous Tense	He had been smiling.
837	Simple Future Tense	He will smile.
838	Future Continuous Tense	He will be smiling.
839	Future Perfect Tense	He will have smiled.
840	Future Perfect Continuous Tense	He will have been smiling.
841	Simple Present Tense	He sells a lot.
842	Present Continuous Tense	He is selling a lot.
843	Present Perfect Tense	He has sold a lot.
844	Present Perfect Continuous Tense	He has been selling a lot.
845	Simple Past Tense	He sold a lot.
846	Past Continuous Tense	He was selling a lot.
847	Past Perfect Tense	He had sold a lot.
848	Past Perfect Continuous Tense	He had been selling a lot.
849	Simple Future Tense	He will sell a lot.
850	Future Continuous Tense	He will be selling a lot.
851	Future Perfect Tense	He will have sold a lot.
852	Future Perfect Continuous Tense	He will have been selling a lot.
853	Simple Present Tense	She gets up at 7
854	Present Continuous Tense	She is getting up at 7
855	Present Perfect Tense	She has gotten up at 7
856	Present Perfect Continuous Tense	She has been getting up at 7
857	Simple Past Tense	She got up at 7
858	Past Continuous Tense	She was getting up at 7
859	Past Perfect Tense	She had gotten up at 7
860	Past Perfect Continuous Tense	She had been getting up at 7
861	Simple Future Tense	She will get up at 7
862	Future Continuous Tense	She will be getting up at 7
863	Future Perfect Tense	She will have gotten up at 7
864	Future Perfect Continuous Tense	She will have been getting up at 7
865	Simple Present Tense	He allows it.
866	Present Continuous Tense	He is allowing it.
867	Present Perfect Tense	He has allowed it.
868	Present Perfect Continuous Tense	He has been allowing it.
869	Simple Past Tense	He allowed it.
870	Past Continuous Tense	He was allowing it.
871	Past Perfect Tense	He had allowed it.
872	Past Perfect Continuous Tense	He had been allowing it.
873	Simple Future Tense	He will allow it.
874	Future Continuous Tense	He will be allowing it.
875	Future Perfect Tense	He will have allowed it.
876	Future Perfect Continuous Tense	He will have been allowing it.
877	Simple Present Tense	He teaches.
878	Present Continuous Tense	He is teaching.
879	Present Perfect Tense	He has taught.
880	Present Perfect Continuous Tense	He has been teaching.
881	Simple Past Tense	He taught.
882	Past Continuous Tense	He was teaching.
883	Past Perfect Tense	He had taught.
884	Past Perfect Continuous Tense	He had been teaching.
885	Simple Future Tense	He will teach.
886	Future Continuous Tense	He will be teaching.
887	Future Perfect Tense	He will have taught.
888	Future Perfect Continuous Tense	He will have been teaching.
889	Simple Present Tense	She considers it important.
890	Present Continuous Tense	She is considering it important.
891	Present Perfect Tense	She has considered it important.
892	Present Perfect Continuous Tense	She has been considering it important.
893	Simple Past Tense	She considered it important.
894	Past Continuous Tense	She was considering it important.
895	Past Perfect Tense	She had considered it important.
896	Past Perfect Continuous Tense	She had been considering it important.
897	Simple Future Tense	She will consider it important.
898	Future Continuous Tense	She will be considering it important.
899	Future Perfect Tense	She will have considered it important.
900	Future Perfect Continuous Tense	She will have been considering it important.
901	Simple Present Tense	She applies it.
902	Present Continuous Tense	She is applying it.
903	Present Perfect Tense	She has applied it.
904	Present Perfect Continuous Tense	She has been applying it.
905	Simple Past Tense	She applied it.
906	Past Continuous Tense	She was applying it.
907	Past Perfect Tense	She had applied it.
908	Past Perfect Continuous Tense	She had been applying it.
909	Simple Future Tense	She will apply it.
910	Future Continuous Tense	She will be applying it.
911	Future Perfect Tense	She will have applied it.
912	Future Perfect Continuous Tense	She will have been applying it.
913	Simple Present Tense	he avoids it.
914	Present Continuous Tense	he is avoiding it.
915	Present Perfect Tense	he has avoided it.
916	Present Perfect Continuous Tense	he has been avoiding it.
917	Simple Past Tense	he avoided it.
918	Past Continuous Tense	he was avoiding it.
919	Past Perfect Tense	he had avoided it.
920	Past Perfect Continuous Tense	he had been avoiding it.
921	Simple Future Tense	he will avoid it.
922	Future Continuous Tense	he will be avoiding it.
923	Future Perfect Tense	he will have avoided it.
924	Future Perfect Continuous Tense	he will have been avoiding it.
925	Simple Present Tense	He bets.
926	Present Continuous Tense	He is betting.
927	Present Perfect Tense	He has bet.
928	Present Perfect Continuous Tense	He has been betting.
929	Simple Past Tense	He bet.
930	Past Continuous Tense	He was betting.
931	Past Perfect Tense	He had bet.
932	Past Perfect Continuous Tense	He had been betting.
933	Simple Future Tense	He will bet.
934	Future Continuous Tense	He will be betting.
935	Future Perfect Tense	He will have bet.
936	Future Perfect Continuous Tense	He will have been betting.
937	Simple Present Tense	It rises.
938	Present Continuous Tense	It is rising.
939	Present Perfect Tense	It has risen.
940	Present Perfect Continuous Tense	It has been rising.
941	Simple Past Tense	It rose.
942	Past Continuous Tense	It was rising.
943	Past Perfect Tense	It had risen.
944	Past Perfect Continuous Tense	It had been rising.
945	Simple Future Tense	It will rise.
946	Future Continuous Tense	It will be rising.
947	Future Perfect Tense	It will have risen.
948	Future Perfect Continuous Tense	It will have been rising.
949	Simple Present Tense	He admits it.
950	Present Continuous Tense	He is admitting it.
951	Present Perfect Tense	He has admitted it.
952	Present Perfect Continuous Tense	He has been admitting it.
953	Simple Past Tense	He admitted it.
954	Past Continuous Tense	He was admitting it.
955	Past Perfect Tense	He had admitted it.
956	Past Perfect Continuous Tense	He had been admitting it.
957	Simple Future Tense	He will admits it.
958	Future Continuous Tense	He will be admitting it.
959	Future Perfect Tense	He will have admitted it.
960	Future Perfect Continuous Tense	He will have been admitting it.
961	Simple Present Tense	She bakes.
962	Present Continuous Tense	She is baking.
963	Present Perfect Tense	She has baked.
964	Present Perfect Continuous Tense	She has been baking.
965	Simple Past Tense	She baked.
966	Past Continuous Tense	She was baking.
967	Past Perfect Tense	She had baked.
968	Past Perfect Continuous Tense	She had been baking.
969	Simple Future Tense	She will bake.
970	Future Continuous Tense	She will be baking.
971	Future Perfect Tense	She will have baked.
972	Future Perfect Continuous Tense	She will have been baking.
973	Simple Present Tense	He owes it.
974	Present Continuous Tense	He is owing it.
975	Present Perfect Tense	He has owed it.
976	Present Perfect Continuous Tense	He has been owing it.
977	Simple Past Tense	He owed it.
978	Past Continuous Tense	He was owing it.
979	Past Perfect Tense	He had owed it.
980	Past Perfect Continuous Tense	He had been owing it.
981	Simple Future Tense	He will owe it.
982	Future Continuous Tense	He will be owing it.
983	Future Perfect Tense	He will have owed it.
984	Future Perfect Continuous Tense	He will have been owing it.
985	Simple Present Tense	She wins.
986	Present Continuous Tense	She is winning.
987	Present Perfect Tense	She has won.
988	Present Perfect Continuous Tense	She has been winning.
989	Simple Past Tense	She won.
990	Past Continuous Tense	She was winning.
991	Past Perfect Tense	She had won.
992	Past Perfect Continuous Tense	She had been winning.
993	Simple Future Tense	She will win.
994	Future Continuous Tense	She will be winning.
995	Future Perfect Tense	She will have won.
996	Future Perfect Continuous Tense	She will have been winning.
997	Simple Present Tense	He creates something.
998	Present Continuous Tense	He is creating something.
999	Present Perfect Tense	He has created something.
1000	Present Perfect Continuous Tense	He has been creating something.
1001	Simple Past Tense	He created something.
1002	Past Continuous Tense	He was creating something.
1003	Past Perfect Tense	He had created something.
1004	Past Perfect Continuous Tense	He had been creating something.
1005	Simple Future Tense	He will create something.
1006	Future Continuous Tense	He will be creating something.
1007	Future Perfect Tense	He will have created something.
1008	Future Perfect Continuous Tense	He will have been creating something.
1009	Simple Present Tense	She causes something.
1010	Present Continuous Tense	She is causing something.
1011	Present Perfect Tense	She has caused something.
1012	Present Perfect Continuous Tense	She has been causing something.
1013	Simple Past Tense	She caused something.
1014	Past Continuous Tense	She was causing something.
1015	Past Perfect Tense	She had caused something.
1016	Past Perfect Continuous Tense	She had been causing something.
1017	Simple Future Tense	She will cause something.
1018	Future Continuous Tense	She will be causing something.
1019	Future Perfect Tense	She will have caused something.
1020	Future Perfect Continuous Tense	She will have been causing something.
1021	Simple Present Tense	She understands something.
1022	Present Continuous Tense	She is understanding something.
1023	Present Perfect Tense	She has understood something.
1024	Present Perfect Continuous Tense	She has been understanding something.
1025	Simple Past Tense	She understood something.
1026	Past Continuous Tense	She was understanding something.
1027	Past Perfect Tense	She had understood something.
1028	Past Perfect Continuous Tense	She had been understanding something.
1029	Simple Future Tense	She will understand something.
1030	Future Continuous Tense	She will be understanding something.
1031	Future Perfect Tense	She will have understood something.
1032	Future Perfect Continuous Tense	She will have been understanding something.
1033	Simple Present Tense	She joins the party.
1034	Present Continuous Tense	She is joining the party.
1035	Present Perfect Tense	She has joined the party.
1036	Present Perfect Continuous Tense	She has been joining the party.
1037	Simple Past Tense	She joined the party.
1038	Past Continuous Tense	She was joining the party.
1039	Past Perfect Tense	She had joined the party.
1040	Past Perfect Continuous Tense	She had been joining the party.
1041	Simple Future Tense	She will join the party.
1042	Future Continuous Tense	She will be joining the party.
1043	Future Perfect Tense	She will have joined the party.
1044	Future Perfect Continuous Tense	She will have been joining the party.
1045	Simple Present Tense	She grows something.
1046	Present Continuous Tense	She is growing something.
1047	Present Perfect Tense	She has grown something.
1048	Present Perfect Continuous Tense	She has been growing something.
1049	Simple Past Tense	She grew something.
1050	Past Continuous Tense	She was growing something.
1051	Past Perfect Tense	She had grown something.
1052	Past Perfect Continuous Tense	She had been growing something.
1053	Simple Future Tense	She will grow something.
1054	Future Continuous Tense	She will be growing something.
1055	Future Perfect Tense	She will have grown something.
1056	Future Perfect Continuous Tense	She will have been growing something.
1057	Simple Present Tense	He paints something.
1058	Present Continuous Tense	He is painting something.
1059	Present Perfect Tense	He has painted something.
1060	Present Perfect Continuous Tense	He has been painting something.
1061	Simple Past Tense	He painted something.
1062	Past Continuous Tense	He was painting something.
1063	Past Perfect Tense	He had painted something.
1064	Past Perfect Continuous Tense	He had been painting something.
1065	Simple Future Tense	He will paint something.
1066	Future Continuous Tense	He will be painting something.
1067	Future Perfect Tense	He will have painted something.
1068	Future Perfect Continuous Tense	He will have been painting something.
1069	Simple Present Tense	She produces something.
1070	Present Continuous Tense	She is producing something.
1071	Present Perfect Tense	She has produced something.
1072	Present Perfect Continuous Tense	She has been producing something.
1073	Simple Past Tense	She produced something.
1074	Past Continuous Tense	She was producing something.
1075	Past Perfect Tense	She had produced something.
1076	Past Perfect Continuous Tense	She had been producing something.
1077	Simple Future Tense	She will produce something.
1078	Future Continuous Tense	She will be producing something.
1079	Future Perfect Tense	She will have produced something.
1080	Future Perfect Continuous Tense	She will have been producing something.
1081	Simple Present Tense	He transports something.
1082	Present Continuous Tense	He is transporting something.
1083	Present Perfect Tense	He has transported something.
1084	Present Perfect Continuous Tense	He has been transporting something.
1085	Simple Past Tense	He transported something.
1086	Past Continuous Tense	He was transporting something.
1087	Past Perfect Tense	He had transported something.
1088	Past Perfect Continuous Tense	He had been transporting something.
1089	Simple Future Tense	He will transport something.
1090	Future Continuous Tense	He will be transporting something.
1091	Future Perfect Tense	He will have transported something.
1092	Future Perfect Continuous Tense	He will have been transporting something.
1093	Simple Present Tense	She improves something.
1094	Present Continuous Tense	She is improving something.
1095	Present Perfect Tense	She has improved something.
1096	Present Perfect Continuous Tense	She has been improving something.
1097	Simple Past Tense	She improved something.
1098	Past Continuous Tense	She was improving something.
1099	Past Perfect Tense	She had improved something.
1100	Past Perfect Continuous Tense	She had been improving something.
1101	Simple Future Tense	She will improve something.
1102	Future Continuous Tense	She will be improving something.
1103	Future Perfect Tense	She will have improved something.
1104	Future Perfect Continuous Tense	She will have been improving something.
1105	Simple Present Tense	She buys.
1106	Present Continuous Tense	She is buying.
1107	Present Perfect Tense	She has bought.
1108	Present Perfect Continuous Tense	She has been buying.
1109	Simple Past Tense	She bought.
1110	Past Continuous Tense	She was buying.
1111	Past Perfect Tense	She had bought.
1112	Past Perfect Continuous Tense	She had been buying.
1113	Simple Future Tense	She will buy.
1114	Future Continuous Tense	She will be buying.
1115	Future Perfect Tense	She will have bought.
1116	Future Perfect Continuous Tense	She will have been buying.
1117	Simple Present Tense	He apologizes.
1118	Present Continuous Tense	He is apologizing.
1119	Present Perfect Tense	He has apologized.
1120	Present Perfect Continuous Tense	He has been apologizing.
1121	Simple Past Tense	He apologized.
1122	Past Continuous Tense	He was apologizing.
1123	Past Perfect Tense	He had apologized.
1124	Past Perfect Continuous Tense	He had been apologizing.
1125	Simple Future Tense	He will apologize.
1126	Future Continuous Tense	He will be apologizing.
1127	Future Perfect Tense	He will have apologized.
1128	Future Perfect Continuous Tense	He will have been apologizing.
1129	Simple Present Tense	He argues with someone.
1130	Present Continuous Tense	He is arguing with someone.
1131	Present Perfect Tense	He has argued with someone.
1132	Present Perfect Continuous Tense	He has been arguing with someone.
1133	Simple Past Tense	He argued with someone.
1134	Past Continuous Tense	He was arguing with someone.
1135	Past Perfect Tense	He had argued with someone.
1136	Past Perfect Continuous Tense	He had been arguing with someone.
1137	Simple Future Tense	He will argue with someone.
1138	Future Continuous Tense	He will be arguing with someone.
1139	Future Perfect Tense	He will have argued with someone.
1140	Future Perfect Continuous Tense	He will have been arguing with someone.
1141	Simple Present Tense	She begins her day.
1142	Present Continuous Tense	She is beginning her day.
1143	Present Perfect Tense	She has begun her day.
1144	Present Perfect Continuous Tense	She has been beginning her day.
1145	Simple Past Tense	She began her day.
1146	Past Continuous Tense	She was beginning her day.
1147	Past Perfect Tense	She had begun her day.
1148	Past Perfect Continuous Tense	She had been beginning her day.
1149	Simple Future Tense	She will begin her day.
1150	Future Continuous Tense	She will be beginning her day.
1151	Future Perfect Tense	She will have begun her day.
1152	Future Perfect Continuous Tense	She will have been beginning her day.
1153	Simple Present Tense	She designs something.
1154	Present Continuous Tense	She is designing something.
1155	Present Perfect Tense	She has designed something.
1156	Present Perfect Continuous Tense	She has been designing something.
1157	Simple Past Tense	She designed something.
1158	Past Continuous Tense	She was designing something.
1159	Past Perfect Tense	She had designed something.
1160	Past Perfect Continuous Tense	She had been designing something.
1161	Simple Future Tense	She will design something.
1162	Future Continuous Tense	She will be designing something.
1163	Future Perfect Tense	She will have designed something.
1164	Future Perfect Continuous Tense	She will have been designing something.
1165	Simple Present Tense	He repairs something.
1166	Present Continuous Tense	He is repairing something.
1167	Present Perfect Tense	He has repaired something.
1168	Present Perfect Continuous Tense	He has been repairing something.
1169	Simple Past Tense	He repaired something.
1170	Past Continuous Tense	He was repairing something.
1171	Past Perfect Tense	He had repaired something.
1172	Past Perfect Continuous Tense	He had been repairing something.
1173	Simple Future Tense	He will repair something.
1174	Future Continuous Tense	He will be repairing something.
1175	Future Perfect Tense	He will have repaired something.
1176	Future Perfect Continuous Tense	He will have been repairing something.
1177	Simple Present Tense	She earns some money.
1178	Present Continuous Tense	She is earning some money.
1179	Present Perfect Tense	She has earned some money.
1180	Present Perfect Continuous Tense	She has been earning some money.
1181	Simple Past Tense	She earned some money.
1182	Past Continuous Tense	She was earning some money.
1183	Past Perfect Tense	She had earned some money.
1184	Past Perfect Continuous Tense	She had been earning some money.
1185	Simple Future Tense	She will earn some money.
1186	Future Continuous Tense	She will be earning some money.
1187	Future Perfect Tense	She will have earned some money.
1188	Future Perfect Continuous Tense	She will have been earning some money.
1189	Simple Present Tense	He wears a shirt.
1190	Present Continuous Tense	He is wearing a shirt.
1191	Present Perfect Tense	He has worn a shirt.
1192	Present Perfect Continuous Tense	He has been wearing a shirt.
1193	Simple Past Tense	He wore a shirt.
1194	Past Continuous Tense	He was wearing a shirt.
1195	Past Perfect Tense	He had worn a shirt.
1196	Past Perfect Continuous Tense	He had been wearing a shirt.
1197	Simple Future Tense	He will wear a shirt.
1198	Future Continuous Tense	He will be wearing a shirt.
1199	Future Perfect Tense	He will have worn a shirt.
1200	Future Perfect Continuous Tense	He will have been wearing a shirt.
1201	Simple Present Tense	He infects someone.
1202	Present Continuous Tense	He is infecting someone.
1203	Present Perfect Tense	He has infected someone.
1204	Present Perfect Continuous Tense	He has been infecting someone.
1205	Simple Past Tense	He infected someone.
1206	Past Continuous Tense	He was infecting someone.
1207	Past Perfect Tense	He had infected someone.
1208	Past Perfect Continuous Tense	He had been infecting someone.
1209	Simple Future Tense	He will infect someone.
1210	Future Continuous Tense	He will be infecting someone.
1211	Future Perfect Tense	He will have infected someone.
1212	Future Perfect Continuous Tense	He will have been infecting someone.
1213	Simple Present Tense	She travels.
1214	Present Continuous Tense	She is traveling.
1215	Present Perfect Tense	She has traveled.
1216	Present Perfect Continuous Tense	She has been traveling.
1217	Simple Past Tense	She traveled.
1218	Past Continuous Tense	She was traveling.
1219	Past Perfect Tense	She had traveled.
1220	Past Perfect Continuous Tense	She had been traveling.
1221	Simple Future Tense	She will travel.
1222	Future Continuous Tense	She will be traveling.
1223	Future Perfect Tense	She will have traveled.
1224	Future Perfect Continuous Tense	She will have been traveling.
1225	Simple Present Tense	It sets out.
1226	Present Continuous Tense	It is setting out.
1227	Present Perfect Tense	It has set out.
1228	Present Perfect Continuous Tense	It has been setting out.
1229	Simple Past Tense	It set out.
1230	Past Continuous Tense	It was setting out.
1231	Past Perfect Tense	It had set out.
1232	Past Perfect Continuous Tense	It had been setting out.
1233	Simple Future Tense	It will set out.
1234	Future Continuous Tense	It will be setting out.
1235	Future Perfect Tense	It will have set out.
1236	Future Perfect Continuous Tense	It will have been setting out.
1237	Simple Present Tense	He cuts it.
1238	Present Continuous Tense	He is cutting it.
1239	Present Perfect Tense	He has cut it.
1240	Present Perfect Continuous Tense	He has been cutting it.
1241	Simple Past Tense	He cut it.
1242	Past Continuous Tense	He was cutting it.
1243	Past Perfect Tense	He had cut it.
1244	Past Perfect Continuous Tense	He had been cutting it.
1245	Simple Future Tense	He will cut it.
1246	Future Continuous Tense	He will be cutting it.
1247	Future Perfect Tense	He will have cut it.
1248	Future Perfect Continuous Tense	He will have been cutting it.
1249	Simple Present Tense	He corrects it.
1250	Present Continuous Tense	He is correcting it.
1251	Present Perfect Tense	He has corrected it.
1252	Present Perfect Continuous Tense	He has been correcting it.
1253	Simple Past Tense	He corrected it.
1254	Past Continuous Tense	He was correcting it.
1255	Past Perfect Tense	He had corrected it.
1256	Past Perfect Continuous Tense	He had been correcting it.
1257	Simple Future Tense	He will correct it.
1258	Future Continuous Tense	He will be correcting it.
1259	Future Perfect Tense	He will have corrected it.
1260	Future Perfect Continuous Tense	He will have been correcting it.
1261	Simple Present Tense	He finishes.
1262	Present Continuous Tense	He is finishing.
1263	Present Perfect Tense	He has finished.
1264	Present Perfect Continuous Tense	He has been finishing.
1265	Simple Past Tense	He finished.
1266	Past Continuous Tense	He was finishing.
1267	Past Perfect Tense	He had finished.
1268	Past Perfect Continuous Tense	He had been finishing.
1269	Simple Future Tense	He will finish.
1270	Future Continuous Tense	He will be finishing.
1271	Future Perfect Tense	He will have finished.
1272	Future Perfect Continuous Tense	He will have been finishing.
1273	Simple Present Tense	He loses.
1274	Present Continuous Tense	He is losing.
1275	Present Perfect Tense	He has lost.
1276	Present Perfect Continuous Tense	He has been losing.
1277	Simple Past Tense	He lost.
1278	Past Continuous Tense	He was losing.
1279	Past Perfect Tense	He had lost.
1280	Past Perfect Continuous Tense	He had been losing.
1281	Simple Future Tense	He will lose.
1282	Future Continuous Tense	He will be losing.
1283	Future Perfect Tense	He will have lost.
1284	Future Perfect Continuous Tense	He will have been losing.
1285	Simple Present Tense	She feels bad.
1286	Present Continuous Tense	She is feeling bad.
1287	Present Perfect Tense	She has felt bad.
1288	Present Perfect Continuous Tense	She has been feeling bad.
1289	Simple Past Tense	She felt bad.
1290	Past Continuous Tense	She was feeling bad.
1291	Past Perfect Tense	She had felt bad.
1292	Past Perfect Continuous Tense	She had been feeling bad.
1293	Simple Future Tense	She will feel bad.
1294	Future Continuous Tense	She will be feeling bad.
1295	Future Perfect Tense	She will have felt bad.
1296	Future Perfect Continuous Tense	She will have been feeling bad.
1297	Simple Present Tense	He cries.
1298	Present Continuous Tense	He is crying.
1299	Present Perfect Tense	He has cried.
1300	Present Perfect Continuous Tense	He has been crying.
1301	Simple Past Tense	He cried.
1302	Past Continuous Tense	He was crying.
1303	Past Perfect Tense	He had cried.
1304	Past Perfect Continuous Tense	He had been crying.
1305	Simple Future Tense	He will cry.
1306	Future Continuous Tense	He will be crying.
1307	Future Perfect Tense	He will have cried.
1308	Future Perfect Continuous Tense	He will have been crying.
1309	Simple Present Tense	He gets it.
1310	Present Continuous Tense	He is getting it.
1311	Present Perfect Tense	He has got it.
1312	Present Perfect Continuous Tense	He has been getting it.
1313	Simple Past Tense	He got it.
1314	Past Continuous Tense	He was getting it.
1315	Past Perfect Tense	He had got it.
1316	Past Perfect Continuous Tense	He had been getting it.
1317	Simple Future Tense	He will get it.
1318	Future Continuous Tense	He will be getting it.
1319	Future Perfect Tense	He will have got it.
1320	Future Perfect Continuous Tense	He will have been getting it.
1321	Simple Present Tense	He cares.
1322	Present Continuous Tense	He is caring.
1323	Present Perfect Tense	He has cared.
1324	Present Perfect Continuous Tense	He has been caring.
1325	Simple Past Tense	He cared.
1326	Past Continuous Tense	He was caring.
1327	Past Perfect Tense	He had cared.
1328	Past Perfect Continuous Tense	He had been caring.
1329	Simple Future Tense	He will care.
1330	Future Continuous Tense	He will be caring.
1331	Future Perfect Tense	He will have cared.
1332	Future Perfect Continuous Tense	He will have been caring.
1333	Simple Present Tense	She praises him.
1334	Present Continuous Tense	She is praising him.
1335	Present Perfect Tense	She has praised him.
1336	Present Perfect Continuous Tense	She has been praising him.
1337	Simple Past Tense	She praised him.
1338	Past Continuous Tense	She was praising him.
1339	Past Perfect Tense	She had praised him.
