Id	Tense	Sentence
571	Past Perfect Tense	after 9 o'clock he had slept.
572	Past Perfect Continuous Tense	last thursday he had been sleeping.
573	Simple Future Tense	after this evening he will sleep.
574	Future Continuous Tense	later he will be sleeping.
575	Future Perfect Tense	after dinner he will have slept.
576	Future Perfect Continuous Tense	by tomorrow he will have been sleeping.
577	Simple Present Tense	this day he calls her.
578	Present Continuous Tense	today he is calling her.
579	Present Perfect Tense	this day he has called her.
580	Present Perfect Continuous Tense	this day he has been calling her.
581	Simple Past Tense	lately he called her.
582	Past Continuous Tense	last summer he was calling her.
583	Past Perfect Tense	last week he had called her.
584	Past Perfect Continuous Tense	previously he had been calling her.
585	Simple Future Tense	tomorrow at 12 o'clock he will call her.
586	Future Continuous Tense	next night he will be calling her.
587	Future Perfect Tense	tomorrow night he will have called her.
588	Future Perfect Continuous Tense	by tomorrow he will have been calling her.
589	Simple Present Tense	today she leaves him.
590	Present Continuous Tense	at the moment she is leaving him.
591	Present Perfect Tense	this day she has left him.
592	Present Perfect Continuous Tense	this day she has been leaving him.
593	Simple Past Tense	last tuesday she left him.
594	Past Continuous Tense	after this night she was leaving him.
595	Past Perfect Tense	recently she had left him.
596	Past Perfect Continuous Tense	after lunch she had been leaving him.
597	Simple Future Tense	tomorrow at 1 pm she will leave him.
598	Future Continuous Tense	next breakfast she will be leaving him.
599	Future Perfect Tense	after this night she will have left him.
600	Future Perfect Continuous Tense	in a few weeks she will have been leaving him.
601	Simple Present Tense	today he makes her happy.
602	Present Continuous Tense	today he is making her happy.
603	Present Perfect Tense	this day he has made her happy.
604	Present Perfect Continuous Tense	today he has been making her happy.
605	Simple Past Tense	after this weekend he made her happy.
606	Past Continuous Tense	since 1 pm he was making her happy.
607	Past Perfect Tense	after this morning he had made her happy.
608	Past Perfect Continuous Tense	since this week he had been making her happy.
609	Simple Future Tense	after dinner he will make her happy.
610	Future Continuous Tense	after this winter he will be making her happy.
611	Future Perfect Tense	tomorrow at 12 o'clock he will have made her happy.
612	Future Perfect Continuous Tense	in a few weeks he will have been making her happy.
613	Simple Present Tense	this day she tells him.
614	Present Continuous Tense	at the moment she is telling him.
615	Present Perfect Tense	this day she has told him.
616	Present Perfect Continuous Tense	today she has been telling him.
617	Simple Past Tense	before last day she told him.
618	Past Continuous Tense	after this autumn she was telling him.
619	Past Perfect Tense	before wednesday she had told him.
620	Past Perfect Continuous Tense	after last week she had been telling him.
621	Simple Future Tense	next spring she will tell him.
622	Future Continuous Tense	next spring she will be telling him.
623	Future Perfect Tense	tomorrow night she will have told him.
624	Future Perfect Continuous Tense	in a few weeks she will have been telling him.
625	Simple Present Tense	today he lets her go.
626	Present Continuous Tense	at the moment he is letting her go.
627	Present Perfect Tense	today he has let her go.
628	Present Perfect Continuous Tense	today he has been letting her go.
629	Simple Past Tense	after last summer he let her go.
630	Past Continuous Tense	earlier this night he was letting her go.
631	Past Perfect Tense	last spring he had let her go.
632	Past Perfect Continuous Tense	yesterday at dinner he had been letting her go.
633	Simple Future Tense	after this week he will let her go.
634	Future Continuous Tense	tomorrow at 1 pm he will be letting her go.
635	Future Perfect Tense	after this evening he will have let her go.
636	Future Perfect Continuous Tense	by the end of this year, he will have been letting her go.
637	Simple Present Tense	this day he takes her out.
638	Present Continuous Tense	today he is taking her out.
639	Present Perfect Tense	this day he has taken her out.
640	Present Perfect Continuous Tense	today he has been taking her out.
641	Simple Past Tense	before 1 pm he took her out.
642	Past Continuous Tense	since last winter he was taking her out.
643	Past Perfect Tense	after last morning he had taken her out.
644	Past Perfect Continuous Tense	yesterday at breakfast he had been taking her out.
645	Simple Future Tense	after this day he will take her out.
646	Future Continuous Tense	after this morning he will be taking her out.
647	Future Perfect Tense	next lunch he will have taken her out.
648	Future Perfect Continuous Tense	by next week he will have been taking her out.
649	Simple Present Tense	today he likes her.
650	Present Continuous Tense	at the moment he is liking her.
651	Present Perfect Tense	this day he has liked her.
652	Present Perfect Continuous Tense	this day he has been liking her.
653	Simple Past Tense	last week he liked her.
654	Past Continuous Tense	since last spring he was liking her.
655	Past Perfect Tense	after 1 pm he had liked her.
656	Past Perfect Continuous Tense	earlier he had been liking her.
657	Simple Future Tense	next morning he will like her.
658	Future Continuous Tense	after this autumn he will be liking her.
659	Future Perfect Tense	after this night he will have liked her.
660	Future Perfect Continuous Tense	by the end of this year, he will have been liking her.
661	Simple Present Tense	this day she gives him a dollar.
662	Present Continuous Tense	at the moment she is giving him a dollar.
663	Present Perfect Tense	this day she has given him a dollar.
664	Present Perfect Continuous Tense	today she has been giving him a dollar.
665	Simple Past Tense	lately she gave him a dollar.
666	Past Continuous Tense	since last year she was giving him a dollar.
667	Past Perfect Tense	before 9 am she had given him a dollar.
668	Past Perfect Continuous Tense	since 9 am she had been giving him a dollar.
669	Simple Future Tense	tomorrow morning she will give him a dollar.
670	Future Continuous Tense	tomorrow she will be giving him a dollar.
671	Future Perfect Tense	later this day she will have given him a dollar.
672	Future Perfect Continuous Tense	by the end of this year, she will have been giving him a dollar.
673	Simple Present Tense	today he believes it.
674	Present Continuous Tense	now he is believing it.
675	Present Perfect Tense	this day he has believed it.
676	Present Perfect Continuous Tense	today he has been believing it.
677	Simple Past Tense	last autumn he believed it.
678	Past Continuous Tense	since 12 o'clock he was believing it.
679	Past Perfect Tense	last saturday he had believed it.
680	Past Perfect Continuous Tense	since wednesday he had been believing it.
681	Simple Future Tense	later this night he will believe it.
682	Future Continuous Tense	next autumn he will be believing it.
683	Future Perfect Tense	later today he will have believed it.
684	Future Perfect Continuous Tense	by next week he will have been believing it.
685	Simple Present Tense	today she seems nice.
686	Present Continuous Tense	today she is seeming nice.
687	Present Perfect Tense	this day she has seemed nice.
688	Present Perfect Continuous Tense	this day she has been seeming nice.
689	Simple Past Tense	before last week she seemed nice.
690	Past Continuous Tense	since tuesday she was seeming nice.
691	Past Perfect Tense	last monday she had seemed nice.
692	Past Perfect Continuous Tense	last tuesday she had been seeming nice.
693	Simple Future Tense	next spring she will seem nice.
694	Future Continuous Tense	after this summer she will be seeming nice.
695	Future Perfect Tense	after this day she will have seemed nice.
696	Future Perfect Continuous Tense	in a few weeks she will have been seeming nice.
697	Simple Present Tense	this day she runs.
698	Present Continuous Tense	this day she is running.
699	Present Perfect Tense	this day she has run.
700	Present Perfect Continuous Tense	this day she has been running.
701	Simple Past Tense	after last summer she ran.
702	Past Continuous Tense	last autumn she was running.
703	Past Perfect Tense	after 1 pm she had run.
704	Past Perfect Continuous Tense	since 9 am she had been running.
705	Simple Future Tense	after this evening she will run.
706	Future Continuous Tense	next spring she will be running.
707	Future Perfect Tense	after this spring she will have run.
708	Future Perfect Continuous Tense	in a few weeks she will have been running.
709	Simple Present Tense	today she looks nice.
710	Present Continuous Tense	today she is looking nice.
711	Present Perfect Tense	this day she has looked nice.
712	Present Perfect Continuous Tense	today she has been looking nice.
713	Simple Past Tense	last year she looked nice.
714	Past Continuous Tense	since 12 o'clock she was looking nice.
715	Past Perfect Tense	earlier this night she had looked nice.
716	Past Perfect Continuous Tense	since tuesday she had been looking nice.
717	Simple Future Tense	after breakfast she will look nice.
718	Future Continuous Tense	next year she will be looking nice.
719	Future Perfect Tense	next breakfast she will have looked nice.
720	Future Perfect Continuous Tense	by the end of this year, she will have been looking nice.
721	Simple Present Tense	this day she walks.
722	Present Continuous Tense	now she is walking.
723	Present Perfect Tense	today she has walked.
724	Present Perfect Continuous Tense	this day she has been walking.
725	Simple Past Tense	after this evening she walked.
726	Past Continuous Tense	since last autumn she was walking.
727	Past Perfect Tense	before friday she had walked.
728	Past Perfect Continuous Tense	since this weekend she had been walking.
729	Simple Future Tense	after this weekend she will walk.
730	Future Continuous Tense	next dinner she will be walking.
731	Future Perfect Tense	tomorrow at 7 am she will have walked.
732	Future Perfect Continuous Tense	in a few weeks she will have been walking.
733	Simple Present Tense	this day it starts.
734	Present Continuous Tense	now it is starting.
735	Present Perfect Tense	today it has started.
736	Present Perfect Continuous Tense	today it has been starting.
737	Simple Past Tense	last year it started.
738	Past Continuous Tense	last friday it was starting.
739	Past Perfect Tense	before monday it had started.
740	Past Perfect Continuous Tense	after today it had been starting.
741	Simple Future Tense	after this week it will start.
742	Future Continuous Tense	next year it will be starting.
743	Future Perfect Tense	soon it will have started.
744	Future Perfect Continuous Tense	by tomorrow it will have been starting.
745	Simple Present Tense	today he helps.
746	Present Continuous Tense	at the moment he is helping.
747	Present Perfect Tense	this day he has helped.
748	Present Perfect Continuous Tense	today he has been helping.
749	Simple Past Tense	after this night he helped.
750	Past Continuous Tense	after this spring he was helping.
751	Past Perfect Tense	after today he had helped.
752	Past Perfect Continuous Tense	since last autumn he had been helping.
753	Simple Future Tense	later today he will help.
754	Future Continuous Tense	after this week he will be helping.
755	Future Perfect Tense	soon he will have helped.
756	Future Perfect Continuous Tense	before the end of summer, he will have been helping.
757	Simple Present Tense	today he moves.
758	Present Continuous Tense	now he is moving.
759	Present Perfect Tense	this day he has moved.
760	Present Perfect Continuous Tense	today he has been moving.
761	Simple Past Tense	recently he moved.
762	Past Continuous Tense	after last summer he was moving.
763	Past Perfect Tense	yesterday evening he had moved.
764	Past Perfect Continuous Tense	last monday he had been moving.
765	Simple Future Tense	next summer he will move.
766	Future Continuous Tense	later this morning he will be moving.
767	Future Perfect Tense	next dinner he will have moved.
768	Future Perfect Continuous Tense	by tomorrow he will have been moving.
769	Simple Present Tense	this day he turns around.
770	Present Continuous Tense	today he is turning around.
771	Present Perfect Tense	today he has turned around.
772	Present Perfect Continuous Tense	today he has been turning around.
773	Simple Past Tense	earlier he turned around.
774	Past Continuous Tense	yesterday evening he was turning around.
775	Past Perfect Tense	after lunch he had turned around.
776	Past Perfect Continuous Tense	since last autumn he had been turning around.
777	Simple Future Tense	after lunch he will turn around.
778	Future Continuous Tense	next week he will be turning around.
779	Future Perfect Tense	tomorrow at 1 pm he will have turned around.
780	Future Perfect Continuous Tense	by the end of this year, he will have been turning around.
781	Simple Present Tense	today it happens.
782	Present Continuous Tense	now it is happening.
783	Present Perfect Tense	this day it has happened.
784	Present Perfect Continuous Tense	today it has been happening.
785	Simple Past Tense	last sunday it happened.
786	Past Continuous Tense	since tuesday it was happening.
787	Past Perfect Tense	after last week it had happened.
788	Past Perfect Continuous Tense	last thursday it had been happening.
789	Simple Future Tense	next week it will happen.
790	Future Continuous Tense	next morning it will be happening.
791	Future Perfect Tense	tomorrrow evening it will have happened.
792	Future Perfect Continuous Tense	by next week it will have been happening.
793	Simple Present Tense	this day he arrives.
794	Present Continuous Tense	now he is arriving.
795	Present Perfect Tense	today he has arrived.
796	Present Perfect Continuous Tense	this day he has been arriving.
797	Simple Past Tense	recently he arrived.
798	Past Continuous Tense	since last summer he was arriving.
799	Past Perfect Tense	earlier this morning he had arrived.
800	Past Perfect Continuous Tense	since last spring he had been arriving.
801	Simple Future Tense	later this morning he will arrive.
802	Future Continuous Tense	after this spring he will be arriving.
803	Future Perfect Tense	after this autumn he will have arrived.
804	Future Perfect Continuous Tense	by tomorrow he will have been arriving.
805	Simple Present Tense	today she stops.
806	Present Continuous Tense	today she is stopping.
807	Present Perfect Tense	this day she has stopped.
808	Present Perfect Continuous Tense	today she has been stopping.
809	Simple Past Tense	before tuesday she stopped.
810	Past Continuous Tense	before 1 pm she was stopping.
811	Past Perfect Tense	after last morning she had stopped.
812	Past Perfect Continuous Tense	since this weekend she had been stopping.
813	Simple Future Tense	next breakfast she will stop.
814	Future Continuous Tense	tomorrow at 12 o'clock she will be stopping.
815	Future Perfect Tense	after this week she will have stopped.
816	Future Perfect Continuous Tense	before the end of summer, she will have been stopping.
817	Simple Present Tense	today she pays a lot.
818	Present Continuous Tense	today she is paying a lot.
819	Present Perfect Tense	this day she has paid a lot.
820	Present Perfect Continuous Tense	today she has been paying a lot.
821	Simple Past Tense	after this evening she paid a lot.
822	Past Continuous Tense	since last winter she was paying a lot.
823	Past Perfect Tense	before saturday she had paid a lot.
824	Past Perfect Continuous Tense	after this evening she had been paying a lot.
825	Simple Future Tense	tomorrow at 7 am she will pay a lot.
826	Future Continuous Tense	after this weekend she will be paying a lot.
827	Future Perfect Tense	after this day she will have paid a lot.
828	Future Perfect Continuous Tense	in a few weeks she will have been paying a lot.
829	Simple Present Tense	this day he smiles.
830	Present Continuous Tense	today he is smiling.
831	Present Perfect Tense	today he has smiled.
832	Present Perfect Continuous Tense	today he has been smiling.
833	Simple Past Tense	after last year he smiled.
834	Past Continuous Tense	last saturday he was smiling.
835	Past Perfect Tense	after last year he had smiled.
836	Past Perfect Continuous Tense	after this autumn he had been smiling.
837	Simple Future Tense	next dinner he will smile.
838	Future Continuous Tense	after lunch he will be smiling.
839	Future Perfect Tense	after this night he will have smiled.
840	Future Perfect Continuous Tense	in a few weeks he will have been smiling.
841	Simple Present Tense	today he sells a lot.
842	Present Continuous Tense	now he is selling a lot.
843	Present Perfect Tense	this day he has sold a lot.
844	Present Perfect Continuous Tense	today he has been selling a lot.
845	Simple Past Tense	after 9 o'clock he sold a lot.
846	Past Continuous Tense	since this weekend he was selling a lot.
847	Past Perfect Tense	last friday he had sold a lot.
848	Past Perfect Continuous Tense	last summer he had been selling a lot.
849	Simple Future Tense	the next day he will sell a lot.
850	Future Continuous Tense	tomorrow at 12 o'clock he will be selling a lot.
851	Future Perfect Tense	later this morning he will have sold a lot.
852	Future Perfect Continuous Tense	by tomorrow he will have been selling a lot.
853	Simple Present Tense	this day she gets up at 7
854	Present Continuous Tense	today she is getting up at 7
855	Present Perfect Tense	today she has gotten up at 7
856	Present Perfect Continuous Tense	today she has been getting up at 7
857	Simple Past Tense	last saturday she got up at 7
858	Past Continuous Tense	since monday she was getting up at 7
859	Past Perfect Tense	after this night she had gotten up at 7
860	Past Perfect Continuous Tense	since last winter she had been getting up at 7
861	Simple Future Tense	after lunch she will get up at 7
862	Future Continuous Tense	next week she will be getting up at 7
863	Future Perfect Tense	later this morning she will have gotten up at 7
864	Future Perfect Continuous Tense	by tomorrow she will have been getting up at 7
865	Simple Present Tense	this day he allows it.
866	Present Continuous Tense	today he is allowing it.
867	Present Perfect Tense	today he has allowed it.
868	Present Perfect Continuous Tense	today he has been allowing it.
869	Simple Past Tense	before saturday he allowed it.
870	Past Continuous Tense	before 1 pm he was allowing it.
871	Past Perfect Tense	earlier he had allowed it.
872	Past Perfect Continuous Tense	since last summer he had been allowing it.
873	Simple Future Tense	next morning he will allow it.
874	Future Continuous Tense	after this week he will be allowing it.
875	Future Perfect Tense	tomorrrow evening he will have allowed it.
876	Future Perfect Continuous Tense	by the end of this year, he will have been allowing it.
877	Simple Present Tense	this day he teaches.
878	Present Continuous Tense	at the moment he is teaching.
879	Present Perfect Tense	today he has taught.
880	Present Perfect Continuous Tense	this day he has been teaching.
881	Simple Past Tense	after dinner he taught.
882	Past Continuous Tense	since last autumn he was teaching.
883	Past Perfect Tense	after today he had taught.
884	Past Perfect Continuous Tense	since 9 am he had been teaching.
885	Simple Future Tense	after this night he will teach.
886	Future Continuous Tense	after this winter he will be teaching.
887	Future Perfect Tense	next night he will have taught.
888	Future Perfect Continuous Tense	before the end of summer, he will have been teaching.
889	Simple Present Tense	this day she considers it important.
890	Present Continuous Tense	this day she is considering it important.
891	Present Perfect Tense	this day she has considered it important.
892	Present Perfect Continuous Tense	today she has been considering it important.
893	Simple Past Tense	yesterday night she considered it important.
894	Past Continuous Tense	since last week she was considering it important.
895	Past Perfect Tense	before monday she had considered it important.
896	Past Perfect Continuous Tense	since this year she had been considering it important.
897	Simple Future Tense	next breakfast she will consider it important.
898	Future Continuous Tense	later this morning she will be considering it important.
899	Future Perfect Tense	next week she will have considered it important.
900	Future Perfect Continuous Tense	in a few weeks she will have been considering it important.
901	Simple Present Tense	this day she applies it.
902	Present Continuous Tense	today she is applying it.
903	Present Perfect Tense	this day she has applied it.
904	Present Perfect Continuous Tense	today she has been applying it.
905	Simple Past Tense	after dinner she applied it.
906	Past Continuous Tense	since last autumn she was applying it.
907	Past Perfect Tense	last friday she had applied it.
908	Past Perfect Continuous Tense	last winter she had been applying it.
909	Simple Future Tense	next morning she will apply it.
910	Future Continuous Tense	soon she will be applying it.
911	Future Perfect Tense	after dinner she will have applied it.
912	Future Perfect Continuous Tense	before the end of summer, she will have been applying it.
913	Simple Present Tense	today he avoids it.
914	Present Continuous Tense	now he is avoiding it.
915	Present Perfect Tense	this day he has avoided it.
916	Present Perfect Continuous Tense	this day he has been avoiding it.
917	Simple Past Tense	after last year he avoided it.
918	Past Continuous Tense	after 2 o'clock he was avoiding it.
919	Past Perfect Tense	last friday he had avoided it.
920	Past Perfect Continuous Tense	since last autumn he had been avoiding it.
921	Simple Future Tense	tomorrow morning he will avoid it.
922	Future Continuous Tense	the next day he will be avoiding it.
923	Future Perfect Tense	next dinner he will have avoided it.
924	Future Perfect Continuous Tense	before the end of summer, he will have been avoiding it.
925	Simple Present Tense	this day he bets.
926	Present Continuous Tense	this day he is betting.
927	Present Perfect Tense	today he has bet.
928	Present Perfect Continuous Tense	this day he has been betting.
929	Simple Past Tense	earlier this day he bet.
930	Past Continuous Tense	since this week he was betting.
931	Past Perfect Tense	after 7 am he had bet.
932	Past Perfect Continuous Tense	since this weekend he had been betting.
933	Simple Future Tense	after this night he will bet.
934	Future Continuous Tense	next summer he will be betting.
935	Future Perfect Tense	after this morning he will have bet.
936	Future Perfect Continuous Tense	before the end of summer, he will have been betting.
937	Simple Present Tense	today it rises.
938	Present Continuous Tense	today it is rising.
939	Present Perfect Tense	today it has risen.
940	Present Perfect Continuous Tense	today it has been rising.
941	Simple Past Tense	yesterday at breakfast it rose.
942	Past Continuous Tense	since last week it was rising.
943	Past Perfect Tense	last weekend it had risen.
944	Past Perfect Continuous Tense	after this winter it had been rising.
945	Simple Future Tense	tomorrow at 7 am it will rise.
946	Future Continuous Tense	after this night it will be rising.
947	Future Perfect Tense	after this summer it will have risen.
948	Future Perfect Continuous Tense	before the end of summer, it will have been rising.
949	Simple Present Tense	this day he admits it.
950	Present Continuous Tense	at the moment he is admitting it.
951	Present Perfect Tense	today he has admitted it.
952	Present Perfect Continuous Tense	today he has been admitting it.
953	Simple Past Tense	yesterday at breakfast he admitted it.
954	Past Continuous Tense	recently he was admitting it.
955	Past Perfect Tense	after breakfast he had admitted it.
956	Past Perfect Continuous Tense	after last week he had been admitting it.
957	Simple Future Tense	later this morning he will admits it.
958	Future Continuous Tense	next year he will be admitting it.
959	Future Perfect Tense	after dinner he will have admitted it.
960	Future Perfect Continuous Tense	by next week he will have been admitting it.
961	Simple Present Tense	this day she bakes.
962	Present Continuous Tense	this day she is baking.
963	Present Perfect Tense	today she has baked.
964	Present Perfect Continuous Tense	today she has been baking.
965	Simple Past Tense	lately she baked.
966	Past Continuous Tense	last summer she was baking.
967	Past Perfect Tense	after this year she had baked.
968	Past Perfect Continuous Tense	since last year she had been baking.
969	Simple Future Tense	later this day she will bake.
970	Future Continuous Tense	then she will be baking.
971	Future Perfect Tense	after breakfast she will have baked.
972	Future Perfect Continuous Tense	in a few weeks she will have been baking.
973	Simple Present Tense	this day he owes it.
974	Present Continuous Tense	today he is owing it.
975	Present Perfect Tense	this day he has owed it.
976	Present Perfect Continuous Tense	today he has been owing it.
977	Simple Past Tense	before last year he owed it.
978	Past Continuous Tense	since last winter he was owing it.
979	Past Perfect Tense	after this night he had owed it.
980	Past Perfect Continuous Tense	after 1 pm he had been owing it.
981	Simple Future Tense	tomorrow at 7 am he will owe it.
982	Future Continuous Tense	tomorrow at 1 pm he will be owing it.
983	Future Perfect Tense	next weekend he will have owed it.
984	Future Perfect Continuous Tense	by the end of this year, he will have been owing it.
985	Simple Present Tense	this day she wins.
986	Present Continuous Tense	at the moment she is winning.
987	Present Perfect Tense	this day she has won.
988	Present Perfect Continuous Tense	today she has been winning.
989	Simple Past Tense	after this evening she won.
990	Past Continuous Tense	after this night she was winning.
991	Past Perfect Tense	last winter she had won.
992	Past Perfect Continuous Tense	since last year she had been winning.
993	Simple Future Tense	after breakfast she will win.
994	Future Continuous Tense	next evening she will be winning.
995	Future Perfect Tense	next evening she will have won.
996	Future Perfect Continuous Tense	before the end of summer, she will have been winning.
997	Simple Present Tense	today he creates something.
998	Present Continuous Tense	at the moment he is creating something.
999	Present Perfect Tense	today he has created something.
1000	Present Perfect Continuous Tense	this day he has been creating something.
1001	Simple Past Tense	before 12 o'clock he created something.
1002	Past Continuous Tense	since this weekend he was creating something.
1003	Past Perfect Tense	after last night he had created something.
1004	Past Perfect Continuous Tense	since tuesday he had been creating something.
1005	Simple Future Tense	after this weekend he will create something.
1006	Future Continuous Tense	after this day he will be creating something.
1007	Future Perfect Tense	tomorrow morning he will have created something.
1008	Future Perfect Continuous Tense	by next week he will have been creating something.
1009	Simple Present Tense	this day she causes something.
1010	Present Continuous Tense	this day she is causing something.
1011	Present Perfect Tense	this day she has caused something.
1012	Present Perfect Continuous Tense	today she has been causing something.
1013	Simple Past Tense	before last week she caused something.
1014	Past Continuous Tense	since last summer she was causing something.
1015	Past Perfect Tense	after last autumn she had caused something.
1016	Past Perfect Continuous Tense	after this week she had been causing something.
1017	Simple Future Tense	next year she will cause something.
1018	Future Continuous Tense	tomorrow at 12 o'clock she will be causing something.
1019	Future Perfect Tense	tomorrow at 12 o'clock she will have caused something.
1020	Future Perfect Continuous Tense	in a few weeks she will have been causing something.
1021	Simple Present Tense	this day she understands something.
1022	Present Continuous Tense	at the moment she is understanding something.
1023	Present Perfect Tense	today she has understood something.
1024	Present Perfect Continuous Tense	this day she has been understanding something.
1025	Simple Past Tense	after lunch she understood something.
1026	Past Continuous Tense	since monday she was understanding something.
1027	Past Perfect Tense	yesterday night she had understood something.
1028	Past Perfect Continuous Tense	since this weekend she had been understanding something.
1029	Simple Future Tense	next winter she will understand something.
1030	Future Continuous Tense	next lunch she will be understanding something.
1031	Future Perfect Tense	after lunch she will have understood something.
1032	Future Perfect Continuous Tense	in a few weeks she will have been understanding something.
1033	Simple Present Tense	this day she joins the party.
1034	Present Continuous Tense	today she is joining the party.
1035	Present Perfect Tense	today she has joined the party.
1036	Present Perfect Continuous Tense	this day she has been joining the party.
1037	Simple Past Tense	after this year she joined the party.
1038	Past Continuous Tense	last friday she was joining the party.
1039	Past Perfect Tense	after this day she had joined the party.
1040	Past Perfect Continuous Tense	after this autumn she had been joining the party.
1041	Simple Future Tense	then she will join the party.
1042	Future Continuous Tense	soon she will be joining the party.
1043	Future Perfect Tense	later this evening she will have joined the party.
1044	Future Perfect Continuous Tense	by next week she will have been joining the party.
1045	Simple Present Tense	this day she grows something.
1046	Present Continuous Tense	at the moment she is growing something.
1047	Present Perfect Tense	this day she has grown something.
1048	Present Perfect Continuous Tense	this day she has been growing something.
1049	Simple Past Tense	after 7 am she grew something.
1050	Past Continuous Tense	after last year she was growing something.
1051	Past Perfect Tense	after dinner she had grown something.
1052	Past Perfect Continuous Tense	after last evening she had been growing something.
1053	Simple Future Tense	next weekend she will grow something.
1054	Future Continuous Tense	after this weekend she will be growing something.
1055	Future Perfect Tense	next night she will have grown something.
1056	Future Perfect Continuous Tense	by tomorrow she will have been growing something.
1057	Simple Present Tense	this day he paints something.
1058	Present Continuous Tense	at the moment he is painting something.
1059	Present Perfect Tense	this day he has painted something.
1060	Present Perfect Continuous Tense	this day he has been painting something.
1061	Simple Past Tense	after this evening he painted something.
1062	Past Continuous Tense	since last winter he was painting something.
1063	Past Perfect Tense	after breakfast he had painted something.
1064	Past Perfect Continuous Tense	after today he had been painting something.
1065	Simple Future Tense	later today he will paint something.
1066	Future Continuous Tense	after this winter he will be painting something.
1067	Future Perfect Tense	later today he will have painted something.
1068	Future Perfect Continuous Tense	in a few weeks he will have been painting something.
1069	Simple Present Tense	today she produces something.
1070	Present Continuous Tense	this day she is producing something.
1071	Present Perfect Tense	this day she has produced something.
1072	Present Perfect Continuous Tense	this day she has been producing something.
1073	Simple Past Tense	after last autumn she produced something.
1074	Past Continuous Tense	since this week she was producing something.
1075	Past Perfect Tense	after this morning she had produced something.
1076	Past Perfect Continuous Tense	yesterday she had been producing something.
1077	Simple Future Tense	tomorrrow evening she will produce something.
1078	Future Continuous Tense	later today she will be producing something.
1079	Future Perfect Tense	after this winter she will have produced something.
1080	Future Perfect Continuous Tense	by the end of this year, she will have been producing something.
1081	Simple Present Tense	this day he transports something.
1082	Present Continuous Tense	this day he is transporting something.
1083	Present Perfect Tense	today he has transported something.
1084	Present Perfect Continuous Tense	today he has been transporting something.
1085	Simple Past Tense	after last morning he transported something.
1086	Past Continuous Tense	since last spring he was transporting something.
1087	Past Perfect Tense	before sunday he had transported something.
1088	Past Perfect Continuous Tense	last winter he had been transporting something.
1089	Simple Future Tense	next weekend he will transport something.
1090	Future Continuous Tense	after this spring he will be transporting something.
1091	Future Perfect Tense	later he will have transported something.
1092	Future Perfect Continuous Tense	before the end of summer, he will have been transporting something.
1093	Simple Present Tense	today she improves something.
1094	Present Continuous Tense	now she is improving something.
1095	Present Perfect Tense	today she has improved something.
1096	Present Perfect Continuous Tense	today she has been improving something.
1097	Simple Past Tense	before saturday she improved something.
1098	Past Continuous Tense	after last year she was improving something.
1099	Past Perfect Tense	after this summer she had improved something.
1100	Past Perfect Continuous Tense	earlier this night she had been improving something.
1101	Simple Future Tense	after this week she will improve something.
1102	Future Continuous Tense	later this evening she will be improving something.
1103	Future Perfect Tense	after this weekend she will have improved something.
1104	Future Perfect Continuous Tense	by the end of this year, she will have been improving something.
1105	Simple Present Tense	this day she buys.
1106	Present Continuous Tense	this day she is buying.
1107	Present Perfect Tense	today she has bought.
1108	Present Perfect Continuous Tense	today she has been buying.
1109	Simple Past Tense	after this morning she bought.
1110	Past Continuous Tense	since thursday she was buying.
1111	Past Perfect Tense	before monday she had bought.
1112	Past Perfect Continuous Tense	before this year she had been buying.
1113	Simple Future Tense	next evening she will buy.
1114	Future Continuous Tense	tomorrow night she will be buying.
1115	Future Perfect Tense	the next day she will have bought.
1116	Future Perfect Continuous Tense	by next week she will have been buying.
1117	Simple Present Tense	today he apologizes.
1118	Present Continuous Tense	at the moment he is apologizing.
1119	Present Perfect Tense	this day he has apologized.
1120	Present Perfect Continuous Tense	today he has been apologizing.
1121	Simple Past Tense	after last week he apologized.
1122	Past Continuous Tense	last summer he was apologizing.
1123	Past Perfect Tense	last winter he had apologized.
1124	Past Perfect Continuous Tense	since this week he had been apologizing.
1125	Simple Future Tense	after this morning he will apologize.
1126	Future Continuous Tense	after today he will be apologizing.
1127	Future Perfect Tense	after today he will have apologized.
1128	Future Perfect Continuous Tense	by the end of this year, he will have been apologizing.
1129	Simple Present Tense	this day he argues with someone.
1130	Present Continuous Tense	at the moment he is arguing with someone.
1131	Present Perfect Tense	this day he has argued with someone.
1132	Present Perfect Continuous Tense	today he has been arguing with someone.
1133	Simple Past Tense	yesterday night he argued with someone.
1134	Past Continuous Tense	since this year he was arguing with someone.
1135	Past Perfect Tense	after this spring he had argued with someone.
1136	Past Perfect Continuous Tense	since saturday he had been arguing with someone.
1137	Simple Future Tense	tomorrow at 12 o'clock he will argue with someone.
1138	Future Continuous Tense	later this evening he will be arguing with someone.
1139	Future Perfect Tense	after this week he will have argued with someone.
1140	Future Perfect Continuous Tense	in a few weeks he will have been arguing with someone.
1141	Simple Present Tense	today she begins her day.
1142	Present Continuous Tense	at the moment she is beginning her day.
1143	Present Perfect Tense	this day she has begun her day.
1144	Present Perfect Continuous Tense	today she has been beginning her day.
1145	Simple Past Tense	last week she began her day.
1146	Past Continuous Tense	before this day she was beginning her day.
1147	Past Perfect Tense	lately she had begun her day.
1148	Past Perfect Continuous Tense	after this week she had been beginning her day.
1149	Simple Future Tense	next evening she will begin her day.
1150	Future Continuous Tense	the next day she will be beginning her day.
